taskname,category
20507997-Lighting,Uncategorized
20508000-8 Doors/Windows,Uncategorized
"20508000-8 Doors/Windows, all",Uncategorized
20508000-Doors,Uncategorized
20508000-Doors/Frames/Hw,Uncategorized
20508000-Doors/Windows,Uncategorized
"20508000-Doors/Windows, all",Uncategorized
20508000-Hard Costs Contingency,Construction
20508050-8 Doors/Windows-LHI,Uncategorized
20508050-8 L-Doors/Windows,Uncategorized
20508050-Door labor,Uncategorized
20508050-Window Treatments,FF&E + Millwork
20508300-8 Window Cleaning-BMR,Construction
20508300-Specialty door materials,Uncategorized
20508400-8 Awnings-ITF,Uncategorized
20508500-9b Wallcovering/Brand-ITF,Uncategorized
20508500-Window Glass/Glazing,Construction
20508800-Glass & Glazing,Construction
20508995-Div 8 - General Use 1,Construction
20508996-9 Wallcovering/Brand-ITF,Uncategorized
20508997-9 Paint Ex.Walls/Bldg-BMR,Construction
20508997-9 Window Coverings-ITF,FF&E + Millwork
20508997-Drywall,Construction
20508998-9b Paint Ex.Walls/Bldg-BMR,Construction
20508998-Finishes,Construction
20509000-9 Fin Paint Win Treat,Construction
20509000-9 Finishes,Construction
20509000-9 Finishes Exp,Construction
"20509000-9 Finishes, all",Construction
20509000-Finishes,Construction
20509000-Finishes (Remodel)-EXP,Construction
"20509000-Finishes, all",Construction
20509050-9 Finish Mat Millwork,FF&E + Millwork
20509050-9 Finish Matl/Methods,Uncategorized
20509050-Ceilings,Construction
20509200-2 Existing Conditions,Construction
20509200-3 Concrete - Interior,Construction
20509200-9 Plaster/Drywall,Construction
20509200-Drywall,Construction
20509200-Gypsum board materials,Construction
20509200-Plaster And Drywall,Construction
20509200-Plaster/Drywall,Construction
20509300-Tile/Stone/Marble,Uncategorized
20509500-9 Ceilings,Construction
20509500-9 Ceilings Drywall,Construction
20509500-Ceilings,Construction
20509600-9 Flooring,Construction
20509600-Flooring,Construction
20509600-Flooring - Excludes Carpets,FF&E + Millwork
20509600-Flooring VCT / Wood,Construction
20509600-Flooring-Exp,Construction
20509610-6 Wood/Plastics - Carp,Uncategorized
20509610-9 Carpeting-Initial,FF&E + Millwork
20509610-9 Flooring & Carpet,FF&E + Millwork
20509610-9 Flooring Carpet,FF&E + Millwork
20509610-9 Flooring Carpet/LVT,FF&E + Millwork
